vocabulary,ttf,df,idf
s-pretti,276,271,3.1522883443830563
tapa-bar,86,79,3.6893088591236203
the-layout,62,59,3.816241299991783
realli-tasti,151,148,3.416640507338281
of-spanish,68,67,3.7611758131557314
word,838,785,2.690196080028514
to-blu,91,86,3.6522463410033232
good-spot,55,53,3.8627275283179747
alfredo,75,68,3.754348335711019
--NUM,372,269,3.155336037465062
anyth-special,86,86,3.6522463410033232
fryer,70,68,3.754348335711019
secret,202,194,3.298853076409707
bar-steak,69,61,3.802089257881733
snooti,51,51,3.8796692056320534
for-awhil,80,79,3.6893088591236203
eas,63,63,3.788168371141168
ear,151,135,3.456366033129043
diner-food,100,85,3.6580113966571126
boucheri,81,69,3.7481880270062002
loud,2242,1937,2.278753600952829
reward,53,51,3.8796692056320534
too--,11,87,3.6473829701146196
loui,434,349,3.041392685158225
for-tapa,150,147,3.419955748489758
juici,960,907,2.623249290397901
opinion,623,597,2.806179973983887
great-tast,30,86,3.6522463410033232
anoth-chanc,52,51,3.8796692056320534
devour,215,214,3.255272505103306
a-paper,95,95,3.60959440922522
it-delici,54,52,3.8715729355458786
insult,56,56,3.838849090737255
first-night,83,80,3.683947130751512
you-plan,64,63,3.788168371141168
the-hot,537,473,2.9084850188786495
be-share,141,136,3.4533183400470375
ll-love,65,65,3.7745169657285498
the-seafood,254,236,3.2121876044039577
their-signatur,130,126,3.4871383754771865
not-recommend,115,114,3.530199698203082
the-crowd,485,459,2.9242792860618816
french-press,5,52,3.8715729355458786
to-avoid,304,298,3.110589710299249
mayo,2072,1310,2.462397997898956
